Station ID,Latitude,Longitude,Name,Elevation,Years,Average Weatherscore,Margin of Error,N,Adjusted Average Weatherscore
01001099999,70.9333333,-8.6666667,"JAN MAYEN NOR NAVY, NORWAY",9.0,1994,46.85137362637365,1.9748730142920834,364,48.82624664066574
01001499999,59.791925,5.34085,"SORSTOKKEN, NORWAY",48.76,1994,26.416048464510062,1.840817315366372,296,28.256865779876435
01001599999,61.383,5.867,"BRINGELAND, NORWAY",327.0,1994,31.78578123684839,1.8243711651344945,354,33.61015240198289
01001799999,59.98,2.25,"FRIGG, NORWAY",48.0,1994,37.95732758620689,2.853310258827854,232,40.81063784503474
01003099999,77.0,15.5,"HORNSUND, NORWAY",12.0,1994,51.96666666666668,2.712442103574187,258,54.67910877024087
01008099999,78.246111,15.465556,"LONGYEAR, SVALBARD",26.82,1994,51.67643835616435,2.248318225313263,365,53.92475658147761
01010099999,69.2925,16.144167,"ANDOYA, NORWAY",13.1,1994,36.91999999999999,1.8688028767534193,365,38.78880287675341
01015099999,69.6,17.8333333,"HEKKINGEN FYR, NORWAY",14.0,1994,18.17142857142857,9.223840044869236,7,27.395268616297805
01023099999,69.055758,18.540356,"BARDUFOSS, NORWAY",76.8,1994,34.02491288008804,2.1939682649030123,365,36.21888114499105
01025099999,69.683333,18.918919,"TROMSO, NORWAY",9.44,1994,35.622802197802194,1.8017902018079004,364,37.42459239961009
01028099999,74.5166667,19.0166667,"BJORNOYA ISLAND, NORWAY",18.0,1994,47.351104972375694,1.9870520408432288,362,49.338157013218925
01033099999,70.25,19.5,"TORSVAG FYR, NORWAY",24.0,1994,33.860169491525376,1.380483791368602,354,35.24065328289398
01034099999,70.317,20.15,"FUGLOYKALVEN FYR, NORWAY",38.0,1994,42.56482084690553,2.289547360768378,307,44.854368207673915
01043599999,70.483,22.15,"HASVIK, NORWAY",7.0,1994,35.96444444444444,2.6493394063061935,90,38.613783850750636
01046099999,69.786839,20.959444,"SORKJOSEN, NORWAY",4.87,1994,36.13764044943819,2.138712682470351,356,38.276353131908536
01047099999,69.0166667,23.0666667,"KAUTOKEINO II, NORWAY",307.0,1994,35.093559309718025,2.739716948019568,277,37.833276257737595
01049099999,69.976111,23.371667,"ALTA, NORWAY",2.74,1994,35.47195404920669,2.229135536605667,360,37.701089585812355
01052099999,70.6833333,23.6833333,"HAMMERFEST AIRPORT, NORWAY",81.0,1994,38.971745152354586,1.923697995678468,361,40.89544314803305
01055099999,71.1,23.9833333,"FRUHOLMEN FYR, NORWAY",14.22,1994,41.23835616438355,2.0911849391431523,365,43.32954110352671
