Station ID,Latitude,Longitude,Name,Elevation,Years,Annual Average Weatherscore
51288099999,45.3666666,90.5333333,"BAYTIK SHAN, CH",1651.0,2023,19207.495689655174
47474099999,44.303914,143.404028,"MONBETSU, JA",24.38,2023,13355.009810685911
06310099999,51.45,3.6,"VLISSINGEN, NL",10.0,2023,13636.403119523964
13348099999,43.2829,17.845878,"MOSTAR, BK",47.54,2023,9822.140343560211
47690099999,36.7333333,139.5,"NIKKO, JA",1294.0,2023,16332.025112777561
70207026627,63.88333,-160.8,"UNALAKLEET FIELD, AK US",5.5,2023,24549.29999999999
94336099999,-21.8,139.9166666,"THE MONUMENT AIRPORT, AS",289.0,2023,5055.040870954413
72659604978,44.01778,-92.83139,"DODGE CENTER AIRPORT, MN US",397.8,2023,14393.302213911695
29576099999,55.8166666,94.3,"UJAR, RS",375.0,2023,18878.435582771526
91369199999,7.0833333,171.1333333,"MAJURO ATOLL WEATHER CENTER, RM",4.0,2023,8035.54609478791
78958000409,12.0,-61.783,"MAURICE BISHOP INTERNATIONAL AIRPORT, GJ",7.0,2023,10301.820328561624
99999992828,,,,,2023,5423.243856684879
91772099999,-15.5666666,-175.6166666,"NIUAFOOU, TN",61.0,2023,4913.76866044146
65594099999,4.746717,-6.660817,"SAN PEDRO, IV",7.92,2023,9005.57973533184
37000899999,55.408786,37.906314,"DOMODEDOVO, RS",179.22,2023,16155.161588855186
11138099999,47.1333333,12.6333333,"ALPINZENTRUM RUDOLFSHUETTE, AU",2310.0,2023,26124.97752808988
03135099999,55.509444,-4.586667,"PRESTWICK, UK",19.81,2023,12021.916131042573
70219026615,60.78497,-161.82931,"BETHEL AIRPORT, AK US",32.6,2023,23770.499999999993
96737099999,-6.1166666,106.1333333,"SERANG, ID",40.0,2023,11019.698981355015
67231099999,-14.8166667,36.5333333,"CUAMBA, MZ",607.0,2023,10830.334416818569
53698099999,38.0666666,114.35,"SHIJIAZHUANG, CH",104.8,2023,8141.330804406668
60033099999,27.151667,-13.219167,"HASSAN I, EH",63.09,2023,5518.811900921013
47790099999,35.413611,132.89,"IZUMO, JA",4.57,2023,10835.461948154125
95640099999,-32.6666666,116.6666666,"WANDERING, AS",275.0,2023,4765.187530760575
11157099999,47.5333333,14.1333333,"AIGEN ENNSTAL MIL, AU",649.0,2023,15922.20046646588
74787012834,29.17351,-81.07185,"DAYTONA BEACH INTERNATIONAL AIRPORT, FL US",7.9,2023,11345.65130680022
12942099999,45.990928,18.240983,"PECS SOUTH, HU",304.8,2023,11489.10090831741
14431099999,44.108269,15.346697,"ZADAR, HR",88.08,2023,9219.067095241282
47929099999,26.363506,126.713806,"KUMEJIMA, JA",7.01,2023,7546.508886878095
72440013995,37.23983,-93.38995,"SPRINGFIELD WEATHER SERVICE OFFICE AIRPORT, MO US",384.7,2023,9005.035997718049
A0680000120,37.067,-81.8,"TAZEWELL CO AIRPORT, VA US",808.6,2023,13506.156806848623
02622099999,56.85,13.8833333,"LJUNGBY, SW",148.0,2023,26436.181538858495
83672899999,-10.786375,-65.284792,"GUAJARA MIRIM, BR",145.69,2023,7497.4560646771015
70381025309,58.354,-134.55606,"JUNEAU AIRPORT, AK US",5.9,2023,20375.644606863447
72458603919,38.77996,-97.64444,"SALINA MUNICIPAL AIRPORT, KS US",385.0,2023,9941.55810101413
